name,age,position,Country,MarketValue,PreviousTeam,LeagueOfPreviousTeam,CountryOfPreviousTeam,Fee,YearOfTranfert,NewTeam,LeagueOfNewTeam,CountryOfNewTeam,Height,Agent,JoinedCurrentTeam,ContratExpires,Squad,Appearances,PPG,Goals,Assists,OwnGoals,SubsON,SubsOFF,YellowCards,SecondYellowCards,RedCards,PenaltyGoals,MinutesPerGoal,MinutesPlayed,PlaceOfBirth,DateOfBirth
Simone Zaza ,28,Centre-Forward,Italy,€10.00m,Valencia CF,LaLiga,Spain,€12.00m,2019,Torino FC,Serie A,Italy,"1,86 m",NONE,Torino,"                                    Aug 31, 2022                                ",35,31,1.19,9,5,0,9,6,9,0,0,0,242',2.177',                                    Policoro                                ,"                                Jun 25, 1991                                                                    (31)                                                            "
Hannes Wolf ,20,Left Winger,Austria,€12.00m,Red Bull Salzburg,Bundesliga,Austria,€12.00m,2019,RB Leipzig,Bundesliga,Germany,"1,79 m",HCM Sports ... ,"Jul 1, 2021","Jun 30, 2024",20,5,2.20,0,0,0,5,0,0,0,0,0,0,53',                                    Graz                                ,"                                Apr 16, 1999                                                                    (23)                                                            "
Bruma ,24,Left Winger,Portugal,€10.00m,RB Leipzig,Bundesliga,Germany,€12.00m,2019,PSV Eindhoven,Eredivisie,Netherlands,"1,73 m",NONE,"Jan 29, 2023","Jun 30, 2023",38,31,1.65,5,4,0,9,16,0,0,0,0,354',1.768',                                    Bissau                                ,"                                Oct 24, 1994                                                                    (28)                                                            "
Marvelous Nakamba ,25,Defensive Midfield,Zimbabwe,€6.50m,Club Brugge KV,Jupiler Pro League,Belgium,€12.00m,2019,Aston Villa,Premier League,England,"1,77 m",CAA Stellar ,"Jan 31, 2023","May 31, 2023",40,34,1.00,0,0,0,10,11,7,0,0,0,0,2.271',                                    Hwange                                ,"                                Jan 19, 1994                                                                    (29)                                                            "
Pedro Porro ,19,Right-Back,Spain,€10.00m,Girona FC,LaLiga SmartBank,Spain,€12.00m,2019,Manchester City,Premier League,England,"1,73 m",NONE,"Jan 31, 2023","Jun 30, 2023",25,15,0.73,0,0,0,6,2,2,0,0,0,0,926',                                    Don Benito                                ,"                                Sep 13, 1999                                                                    (23)                                                            "
Alex Kral ,21,Defensive Midfield,Czech Republic,€3.50m,SK Slavia Prague,Fortuna Liga Champ. Gr.,Czech Republic,€12.00m,2019,Spartak Moscow,Premier Liga,Russia,"1,86 m",NONE,"Jul 14, 2022","Jun 30, 2023",34,32,1.84,0,1,0,6,3,5,0,0,0,0,2.479',                                    Košice                                ,"                                May 19, 1998                                                                    (24)                                                            "
Thierry Correia ,20,Right-Back,Portugal,€400k,Sporting CP,Liga NOS,Portugal,€12.00m,2019,Valencia CF,LaLiga,Spain,"1,76 m",Gestifute ,"Sep 2, 2019","Jun 30, 2026",37,12,1.42,0,0,0,2,1,2,0,0,0,0,939',                                    Amadora                                ,"                                Mar 9, 1999                                                                    (24)                                                            "
Munas Dabbur ,27,Centre-Forward,Israel,€10.00m,Sevilla FC,LaLiga,Spain,€12.00m,2019,TSG 1899 Hoffenheim,Bundesliga,Germany,"1,82 m",Soccer Mondial AG ,"Jan 7, 2020","Jun 30, 2024",26,24,1.79,9,3,0,9,10,4,0,0,0,138',1.244',                                    Nazareth                                ,"                                May 14, 1992                                                                    (30)                                                            "
Tino Kadewere ,24,Centre-Forward,Zimbabwe,€4.00m,AC Le Havre,Ligue 2,France,€12.00m,2019,Olympique Lyon,Ligue 1,France,"1,83 m",NONE,"Aug 29, 2022","Jun 30, 2023",24,24,1.75,20,4,0,0,4,3,0,1,6,103',2.067',                                    Harare                                ,"                                Jan 5, 1996                                                                    (27)                                                            "
Odion Ighalo ,30,Centre-Forward,Nigeria,€6.50m,Shanghai Greenland Shenhua,Super League,China,Loan fee:€12.00m,2019,Manchester United,Premier League,England,"1,81 m",Aneke/PMG  ,"Jan 29, 2022","Jun 30, 2023",22,19,2.26,5,1,0,14,1,0,0,0,0,120',599',                                    Lagos                                ,"                                Jun 16, 1989                                                                    (33)                                                            "
Ally Samatta ,27,Centre-Forward,Tanzania,€12.00m,KRC Genk,Jupiler Pro League,Belgium,€10.50m,2019,Aston Villa,Premier League,England,"1,83 m",SPOCS Global Sports ,"Aug 16, 2022","Jun 30, 2023",45,44,1.09,12,2,0,6,14,4,0,0,0,281',3.366',                                    Dar es Salam                                ,"                                Dec 23, 1992                                                                    (30)                                                            "
Benito Raman ,24,Centre-Forward,Belgium,€12.00m,Fortuna Düsseldorf,Bundesliga,Germany,€10.00m,2019,FC Schalke 04,Bundesliga,Germany,"1,69 m",NONE,"Jul 15, 2021","Jun 30, 2024",32,28,1.18,7,4,0,8,16,4,0,0,0,254',1.778',                                    Gent                                ,"                                Nov 7, 1994                                                                    (28)                                                            "
Álex Moreno ,26,Left-Back,Spain,€12.00m,Rayo Vallecano,LaLiga SmartBank,Spain,€9.70m,2019,Real Betis Balompié,LaLiga,Spain,"1,79 m",NONE,"Jan 11, 2023","Jun 30, 2026",37,33,1.12,1,4,0,6,6,5,0,0,0,2.475',2.475',Villafranca Del ... ,"                                Jun 8, 1993                                                                    (29)                                                            "
Téji Savanier ,27,Attacking Midfield,France,€12.00m,Nîmes Olympique,Ligue 1,France,€9.50m,2019,Montpellier HSC,Ligue 1,France,"1,72 m",NONE,"Jul 2, 2019","Jun 30, 2026",23,23,1.39,7,3,0,2,10,5,0,0,3,262',1.833',                                    Montpellier                                ,"                                Dec 22, 1991                                                                    (31)                                                            "
Jacob Bruun Larsen ,21,Left Winger,Denmark,€12.00m,Borussia Dortmund,Bundesliga,Germany,€9.00m,2019,TSG 1899 Hoffenheim,Bundesliga,Germany,"1,83 m",NONE,"Jan 31, 2020","Jun 30, 2024",35,21,1.52,0,2,0,14,7,0,0,0,0,0,619',                                    Lyngby                                ,"                                Sep 19, 1998                                                                    (24)                                                            "
Ihlas Bebou ,25,Centre-Forward,Togo,€12.00m,Hannover 96,2. Bundesliga,Germany,€8.50m,2019,TSG 1899 Hoffenheim,Bundesliga,Germany,"1,83 m",Wasserman ,"Jul 1, 2019","Jun 30, 2026",36,35,1.57,7,4,0,12,6,1,0,0,0,338',2.365',                                    Aledjo Kadara                                ,"                                Apr 23, 1994                                                                    (28)                                                            "
Chicharito ,31,Centre-Forward,Mexico,€12.00m,West Ham United,Premier League,England,€7.75m,2019,Sevilla FC,LaLiga,Spain,"1,75 m",NONE,"Jan 21, 2020","Dec 31, 2023",36,29,1.17,6,0,0,12,12,1,0,0,0,277',1.659',                                    Guadalajara                                ,"                                Jun 1, 1988                                                                    (34)                                                            "
Adem Ljajić ,27,Attacking Midfield,Serbia,€12.00m,Torino FC,Serie A,Italy,€6.50m,2019,Besiktas JK,Süper Lig,Turkey,"1,82 m",LIAN Sports Group ,"Jan 12, 2023","Jun 30, 2024",32,29,1.59,7,7,0,8,8,7,0,0,2,285',1.995',                                    Novi Pazar                                ,"                                Sep 29, 1991                                                                    (31)                                                            "
Ellyes Skhiri ,24,Defensive Midfield,Tunisia,€12.00m,Montpellier HSC,Ligue 1,France,€6.00m,2019,1. FC Köln,Bundesliga,Germany,"1,85 m",CAA Stellar ,"Jul 29, 2019","Jun 30, 2023",35,33,1.06,1,3,0,1,5,4,0,0,0,2.764',2.764',                                    Lunel                                ,"                                May 10, 1995                                                                    (27)                                                            "
name,age,position,Country,MarketValue,PreviousTeam,LeagueOfPreviousTeam,CountryOfPreviousTeam,Fee,YearOfTranfert,NewTeam,LeagueOfNewTeam,CountryOfNewTeam,Height,Agent,JoinedCurrentTeam,ContratExpires,Squad,Appearances,PPG,Goals,Assists,OwnGoals,SubsON,SubsOFF,YellowCards,SecondYellowCards,RedCards,PenaltyGoals,MinutesPerGoal,MinutesPlayed,PlaceOfBirth,DateOfBirth
Dominik Kohr ,25,Central Midfield,Germany,€4.00m,Bayer 04 Leverkusen,Bundesliga,Germany,€8.50m,2019,Eintracht Frankfurt,Bundesliga,Germany,"1,83 m",Sports360 GmbH ,"Jul 1, 2022","Jun 30, 2026",50,40,1.73,1,5,0,15,14,9,1,1,0,2.294',2.294',                                    Trier                                ,"                                Jan 31, 1994                                                                    (29)                                                            "
Ignacio Pussetto ,24,Right Winger,Argentina,€8.00m,Udinese Calcio,Serie A,Italy,€8.50m,2019,Watford FC,Premier League,England,"1,80 m",NONE,"Sep 1, 2022","Jun 30, 2023",34,21,1.14,1,0,0,18,3,2,0,0,0,498',498',                                    Cañada Rosquín                                ,"                                Dec 21, 1995                                                                    (27)                                                            "
