name,age,position,Country,MarketValue,PreviousTeam,LeagueOfPreviousTeam,CountryOfPreviousTeam,Fee,YearOfTranfert,NewTeam,LeagueOfNewTeam,CountryOfNewTeam,Height,Agent,JoinedCurrentTeam,ContratExpires,Squad,Appearances,PPG,Goals,Assists,OwnGoals,SubsON,SubsOFF,YellowCards,SecondYellowCards,RedCards,PenaltyGoals,MinutesPerGoal,MinutesPlayed,PlaceOfBirth,DateOfBirth
Tonny Vilhena ,24,Central Midfield,Netherlands,€14.00m,Feyenoord Rotterdam,Eredivisie,Netherlands,€9.00m,2019,FK Krasnodar,Premier Liga,Russia,"1,75 m",NONE,"Aug 10, 2022","Jun 30, 2023",30,30,1.50,4,3,1,0,5,10,0,1,0,656',2.625',                                    Maassluis                                ,"                                Jan 3, 1995                                                                    (28)                                                            "
Hamed Junior Traorè ,19,Attacking Midfield,Cote d'Ivoire,€14.00m,Empoli FC ,Serie B,Italy,loan transfer,2019,US Sassuolo,Serie A,Italy,"1,77 m",GG11  ,"Jan 31, 2023","Jun 30, 2023",37,33,1.33,5,1,0,11,16,3,0,0,0,350',1.749',                                    Abidjan                                ,"                                Feb 16, 2000                                                                    (23)                                                            "
Aaron Mooy ,28,Central Midfield,Australia,€14.00m,Huddersfield Town,Championship,England,loan transfer,2019,Brighton & Hove Albion,Premier League,England,"1,74 m",CAA Stellar ,"Jul 19, 2022","May 31, 2024",55,50,1.24,3,4,0,12,13,3,1,0,0,1.170',3.509',                                    Sydney                                ,"                                Sep 15, 1990                                                                    (32)                                                            "
Jean-Kévin Augustin ,22,Centre-Forward,France,€14.00m,RB Leipzig,Bundesliga,Germany,loan transfer,2019,Leeds United,Championship,England,"1,79 m",Sport Cover ,"Jul 1, 2022","Jun 30, 2025",25,16,1.63,1,1,0,11,2,0,0,0,0,580',580',                                    Paris                                ,"                                Jun 16, 1997                                                                    (25)                                                            "
Ruslan Malinovskyi ,26,Attacking Midfield,Ukraine,€12.50m,KRC Genk,Jupiler Pro League,Belgium,€13.60m,2019,Atalanta BC,Serie A,Italy,"1,81 m",ProStar ,"Jan 9, 2023","Jun 30, 2023",46,44,1.91,9,7,0,30,7,6,1,0,1,206',1.858',                                    Zhytomyr                                ,"                                May 4, 1993                                                                    (29)                                                            "
Henry Onyekuru ,22,Left Winger,Nigeria,€13.00m,Everton FC,Premier League,England,€13.50m,2019,AS Monaco,Ligue 1,Monaco,"1,75 m",DW Sports Management ,"Jul 10, 2022","Jun 30, 2023",21,16,1.56,1,3,0,5,5,2,0,0,0,1.031',1.031',                                    Onitsha                                ,"                                Jun 5, 1997                                                                    (25)                                                            "
Razvan Marin ,23,Central Midfield,Romania,€13.50m,Standard Liège,Jupiler Pro League,Belgium,€12.50m,2019,Ajax Amsterdam,Eredivisie,Netherlands,"1,78 m",Pietro Chiodi ... ,"Jul 5, 2022","Jun 30, 2023",41,17,2.29,0,2,0,8,4,3,0,0,0,0,808',                                    Bukarest                                ,"                                May 23, 1996                                                                    (26)                                                            "
Steven Nzonzi ,31,Defensive Midfield,France,€13.50m,AS Roma,Serie A,Italy,loan transfer,2019,Stade Rennais FC,Ligue 1,France,"1,96 m",NONE,"Sep 28, 2021","Jun 30, 2023",25,22,1.41,0,1,0,1,3,5,0,0,0,0,1.849',                                    Colombes                                ,"                                Dec 15, 1988                                                                    (34)                                                            "
Ezri Konsa ,21,Centre-Back,England,€3.50m,Brentford FC,Championship,England,€13.30m,2019,Aston Villa,Premier League,England,"1,83 m",CAA Stellar ,"Jul 11, 2019","Jun 30, 2026",46,31,1.39,2,2,0,1,5,6,0,0,0,1.291',2.582',                                    London                                ,"                                Oct 23, 1997                                                                    (25)                                                            "
Jeison Murillo ,27,Centre-Back,Colombia,€8.00m,Valencia CF,LaLiga,Spain,€13.30m,2019,UC Sampdoria,Serie A,Italy,"1,82 m",NONE,"Jan 14, 2020","Jun 30, 2023",39,30,1.17,1,0,0,4,1,6,1,0,0,2.373',2.373',                                    Barranquilla                                ,"                                May 27, 1992                                                                    (30)                                                            "
Gerson ,22,Central Midfield,Brazil,€13.00m,AS Roma,Serie A,Italy,€13.00m,2019,CR Flamengo,Série A,Brazil,"1,84 m",NONE,"Jan 3, 2023","Dec 31, 2027",64,59,1.98,4,4,0,4,25,15,0,0,0,1.176',4.704',                                    Belford Roxo                                ,"                                May 20, 1997                                                                    (25)                                                            "
Christopher Nkunku ,21,Second Striker,France,€12.00m,Paris Saint-Germain,Ligue 1,France,€13.00m,2019,RB Leipzig,Bundesliga,Germany,"1,78 m",NONE,"Jul 18, 2019","Jun 30, 2026",47,44,1.89,5,16,0,14,20,3,0,0,0,520',2.598',                                    Lagny-sur-Marne                                ,"                                Nov 14, 1997                                                                    (25)                                                            "
Alexis Claude-Maurice ,21,Attacking Midfield,France,€7.50m,FC Lorient,Ligue 2,France,€13.00m,2019,OGC Nice,Ligue 1,France,"1,75 m",Sport Cover ,"Aug 31, 2022","Jun 30, 2023",26,26,1.46,2,3,0,4,8,2,0,0,1,958',1.916',                                    Noisy-le-Grand                                ,"                                Jun 6, 1998                                                                    (24)                                                            "
Robert Skov ,23,Right Midfield,Denmark,€13.00m,FC Copenhagen,Superligaen Championship round,Denmark,€10.00m,2019,TSG 1899 Hoffenheim,Bundesliga,Germany,"1,85 m",Elite Sports ... ,"Jul 29, 2019","Jun 30, 2024",38,36,1.75,5,9,0,4,7,4,0,0,1,581',2.907',                                    Marbella                                ,"                                May 20, 1996                                                                    (26)                                                            "
Victor Osimhen ,20,Centre-Forward,Nigeria,€13.00m,VfL Wolfsburg,Bundesliga,Germany,€3.50m,2019,RSC Charleroi,Jupiler Pro League,Belgium,"1,86 m",NONE,"Sep 1, 2020","Jun 30, 2025",39,38,1.63,18,6,0,5,5,5,0,0,2,167',3.012',                                    Lagos                                ,"                                Dec 29, 1998                                                                    (24)                                                            "
Pol Lirola ,21,Right-Back,Spain,€13.00m,US Sassuolo,Serie A,Italy,Loan fee:€2.00m,2019,ACF Fiorentina,Serie A,Italy,"1,83 m",Universal Twenty Two ,"Aug 12, 2022","Jun 30, 2023",41,39,1.38,1,2,0,6,12,4,0,0,0,2.933',2.933',                                    Mollet del Vallès                                ,"                                Aug 13, 1997                                                                    (25)                                                            "
Ondrej Duda ,25,Attacking Midfield,Slovakia,€13.00m,Hertha BSC,Bundesliga,Germany,loan transfer,2019,Norwich City,Premier League,England,"1,81 m",CAA Stellar ,"Jan 29, 2023","Jun 30, 2023",32,22,0.95,1,3,0,4,12,3,0,0,1,1.486',1.486',                                    Snina                                ,"                                Dec 5, 1994                                                                    (28)                                                            "
Iago Falque ,30,Right Winger,Spain,€13.00m,Torino FC,Serie A,Italy,loan transfer,2019,Genoa CFC,Serie A,Italy,"1,74 m",GG11  ,"Jan 23, 2022",-,25,16,1.00,2,1,0,7,8,0,0,0,2,377',753',                                    Vigo                                ,"                                Jan 4, 1990                                                                    (33)                                                            "
Denis Suárez ,25,Attacking Midfield,Spain,€12.00m,FC Barcelona,LaLiga,Spain,€12.90m,2019,Celta de Vigo,LaLiga,Spain,"1,76 m",NONE,"Jan 31, 2023","Jun 30, 2023",31,28,1.07,1,5,0,7,13,3,0,0,0,1.786',1.786',                                    Salceda de Caselas                                ,"                                Jan 6, 1994                                                                    (29)                                                            "
Stefan Lainer ,26,Right-Back,Austria,€12.50m,Red Bull Salzburg,Bundesliga,Austria,€12.50m,2019,Borussia Mönchengladbach,Bundesliga,Germany,"1,75 m",ROOF ,"Jul 1, 2019","Jun 30, 2024",39,39,1.77,1,4,0,0,4,10,0,0,0,3.433',3.433',                                    Salzburg                                ,"                                Aug 27, 1992                                                                    (30)                                                            "
Luuk de Jong ,28,Centre-Forward,Netherlands,€12.00m,PSV Eindhoven,Eredivisie,Netherlands,€12.50m,2019,Sevilla FC,LaLiga,Spain,"1,88 m",NONE,"Jul 2, 2022","Jun 30, 2025",49,46,2.04,10,4,0,15,17,2,0,0,0,270',2.703',                                    Aigle                                ,"                                Aug 27, 1990                                                                    (32)                                                            "
Isaac Mbenza ,23,Right Winger,Belgium,€5.00m,Montpellier HSC,Ligue 1,France,€12.50m,2019,Huddersfield Town,Championship,England,"1,88 m",NONE,"Mar 14, 2022","Jun 30, 2024",14,9,0.56,0,0,0,6,2,0,0,0,0,0,358',                                    Saint-Denis                                ,"                                Mar 8, 1996                                                                    (27)                                                            "
Stanley Nsoki ,20,Centre-Back,France,€8.50m,Paris Saint-Germain,Ligue 1,France,€12.50m,2019,OGC Nice,Ligue 1,France,"1,84 m",ROGON ,"Aug 3, 2022","Jun 30, 2027",24,20,1.70,0,1,0,3,3,3,0,0,0,0,1.520',                                    Poissy                                ,"                                Apr 9, 1999                                                                    (23)                                                            "
Takumi Minamino ,24,Left Winger,Japan,€12.50m,Red Bull Salzburg,Bundesliga,Austria,€8.50m,2019,Liverpool FC,Premier League,England,"1,72 m",NONE,"Jul 1, 2022","Jun 30, 2026",46,36,1.94,9,11,0,12,15,2,0,0,0,232',2.092',"                                    Izumisano, Osaka                                ","                                Jan 16, 1995                                                                    (28)                                                            "
Nicolás Domínguez ,21,Central Midfield,Argentina,€12.50m,CA Vélez Sarsfield,Superliga,Argentina,€8.48m,2019,Bologna FC 1909,Serie A,Italy,"1,79 m",NONE,"Aug 30, 2019","Jun 30, 2024",34,30,1.33,5,2,0,9,8,5,1,0,0,386',1.931',                                    Haedo                                ,"                                Jun 28, 1998                                                                    (24)                                                            "
Andy Delort ,27,Centre-Forward,Algeria,€12.50m,FC Toulouse,Ligue 1,France,€4.50m,2019,Montpellier HSC,Ligue 1,France,"1,81 m",NONE,"Jan 30, 2023","Jun 30, 2023",31,31,1.58,12,3,0,1,7,6,0,0,0,224',2.684',                                    Sète                                ,"                                Oct 9, 1991                                                                    (31)                                                            "
Nicolás Domínguez ,21,Central Midfield,Argentina,€12.50m,Bologna FC 1909,Serie A,Italy,loan transfer,2019,CA Vélez Sarsfield,Superliga,Argentina,"1,79 m",NONE,"Aug 30, 2019","Jun 30, 2024",34,30,1.33,5,2,0,9,8,5,1,0,0,386',1.931',                                    Haedo                                ,"                                Jun 28, 1998                                                                    (24)                                                            "
Erick Pulgar ,25,Defensive Midfield,Chile,€10.00m,Bologna FC 1909,Serie A,Italy,€12.30m,2019,ACF Fiorentina,Serie A,Italy,"1,87 m",Fernando Felicevich ,"Jul 29, 2022","Dec 31, 2025",41,41,1.41,7,8,0,5,1,10,0,0,7,472',3.306',                                    Antofagasta                                ,"                                Jan 15, 1994                                                                    (29)                                                            "
